address;area;date;demanded_price;final_price;monthly_fee;operating_cost;price_per_squaremeter;room_number;title;url;year_of_construction
Primusgatan 52, 5tr;63;13/06/20;4195000;4150000;3706;7000;65873;2 rum;Primusgatan 52, 5tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-52,-5tr-1203651;2005
Essinge Brogata 12, 4 tr;37;12/06/20;2795000;3025000;2366;4100;81757;2 rum;Essinge Brogata 12, 4 tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-12,-4-tr-1203368;1938
Primusgatan 58, 7tr;69;11/06/20;5495000;5400000;4507;5300;78261;2 rum;Primusgatan 58, 7tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-58,-7tr-1202053;2007
Essinge Brogata 5, 2tr;33;10/06/20;2495000;2830000;1965;5340;85758;2 rum;Essinge Brogata 5, 2tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen / Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-5,-2tr-1201244;
Primusgatan 106, 2tr;49.5;10/06/20;4450000;5010000;3569;4800;101212;2 rum;Primusgatan 106, 2tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-106,-2tr-1201635;1935
Luxgatan 11;81;08/06/20;6950000;7000000;4428;7000;86420;3 rum;Luxgatan 11 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, STOCKHOLM - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-luxgatan-11-1199704;1936
Essinge Brogata 22;45;03/06/20;2900000;2850000;3309;9100;63333;2 rum;Essinge Brogata 22 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-22-1197349;1938
StrÌ´lgatan 33, vÌ´n 3/3;40;03/06/20;2895000;3260000;2468;4860;81500;2 rum;StrÌ´lgatan 33, vÌ´n 3/3 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-33,-van-3-3-1197196;1939
Luxgatan 37;45;02/06/20;3195000;3325000;2883;4860;73889;2 rum;Luxgatan 37 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, STOCKHOLM - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-37-1196258;2006
Luxgatan 37, vÌ´n 9  & 10;106;30/05/20;6495000;6870000;5277;5900;64811;3 rum;Luxgatan 37, vÌ´n 9  & 10 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-37,-van-9-10-1195083;2006
Luxgatan 19, vÌ´n 5/5;58.5;29/05/20;4295000;4800000;3337;4860;82051;2 rum;Luxgatan 19, vÌ´n 5/5 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-19,-van-5-5-1194385;2005
