address,area,date,demanded_price,final_price,monthly_fee,operating_cost,price_per_squaremeter,room_number,title,url,year_of_construction
"Luxgatan 7, vån 3/3",45,2020-07-28,3395000,4105000,2622,3480,91222,2 rum,"Luxgatan 7, vån 3/3 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-7,-van-3-3-1224581",1937
"Strålgatan 19, 4 tr",22,2020-07-23,1995000,2810000,1383,2500,127727,1 rum,"Strålgatan 19, 4 tr - Såld bostadsrättslägenhet - Kungsholmen Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-19,-4-tr-1223060",1938
Essinge Brogata 19,42,2020-07-21,2895000,3275000,2356,8000,77976,2 rum,"Essinge Brogata 19 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-19-1222237,1938
Primusgatan 81,0,2020-07-17,6300000,6300000,4037,4860,82353,3 rum,"Primusgatan 81 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-81-1220939,2004
"Luxgatan 25, 5tr",62,2020-07-15,4395000,4600000,3727,6700,74194,2 rum,"Luxgatan 25, 5tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-luxgatan-25,-5tr-1219841",2006
"Strålgatan 23, 2tr",40,2020-07-14,2795000,3000000,2797,5500,75000,2 rum,"Strålgatan 23, 2tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-stralgatan-23,-2tr-1219471",1939
"Primusgatan 96, 7tr",0,2020-07-14,8800000,8950000,4552,8100,97814,3 rum,"Primusgatan 96, 7tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-96,-7tr-1219415",2003
"Primusgatan 86, vån 5",63,2020-07-13,4795000,5080000,3479,3620,80635,2 rum,"Primusgatan 86, vån 5 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-86,-van-5-1219001",2003
Strålgatan 23,40,2020-07-11,0,3150000,2798,7720,78750,2 rum,"Strålgatan 23 - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-23-1218588,1939
Essinge Brogata 22,31,2020-07-09,2495000,2700000,2288,4100,87097,"1,5 rum","Essinge Brogata 22 - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-1,5rum-lilla-essingen-stockholms-kommun-essinge-brogata-22-1217516",1938
